id,instance_name,public_ip,private_ip,instance_type,instance_id,region,latency,project,platform,insert_time,role
77,Online_Slave_Default_Mysql_20220107,52.42.161.71,11.0.204.71,m5.large,i-06747625b631a5c8b,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
78,Online_Slave_KServer-c-20220107,54.202.20.181,11.0.1.207,c5.large,i-0ea9581fa69e009e7,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
79,Online_Slave_KServer-a-20220107,34.222.162.72,11.0.1.237,c5.large,i-0117aa23291969f06,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
80,OnlineKeepOpen_WebPortal-20220107,52.35.123.108,11.0.181.27,t3.micro,i-01055cffd456faa20,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
81,Online_GDMS_SSH_SiliconValley_20220115,144.202.102.82,,,,sjc,0,ssh,,2022-03-14 08:54:20,vps
102,Online_GDMS_SSH_SiliconValley_20220121,144.202.96.249,,,,sjc,0,ssh,,2022-03-14 08:54:20,vps
103,Online_GDMS_SSH_Miami_20220124,45.77.197.156,,,,mia,0,ssh,,2022-03-14 08:54:20,vps
104,Online_GDMS_SSH_Miami_20220215,45.77.198.249,,,,mia,0,ssh,,2022-03-14 08:54:20,vps
119,Online-GDMS-STUN-SYSLOG,34.215.167.138,11.0.206.112,m5.large,i-007091ce792c134b4,US West (Oregon),0,gdms-account,aws,2022-03-14 09:34:11,
120,Online-GDMS-Slave-20200905,100.21.29.118,11.0.206.176,m5.large,i-008afbc73f27a8f6e,US West (Oregon),0,gdms-account,aws,2022-03-14 09:34:11,
121,Online-GDMS-Master-20200905,54.69.43.157,11.0.206.142,m5.large,i-037afa1213027172d,US West (Oregon),0,gdms-account,aws,2022-03-14 09:34:11,
122,Online-GMDS_MySQL-DNS-0927,34.209.37.63,11.0.206.24,m5.large,i-03cd96e06713fbeb5,US West (Oregon),0,gdms-account,aws,2022-03-14 09:34:11,
123,Online-GDMS-Notification-20210412,34.217.185.246,11.0.206.229,c5.large,i-00cb9619b86d8a10d,US West (Oregon),0,gdms-account,aws,2022-03-14 09:34:11,
